period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2024,SGA-NCO,COL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-NCO_MMCF,Georgia Natural Gas International Deliveries to Colombia (Million Cubic Feet),1170,MMCF
2024,SLA-NCO,COL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NCO_MMCF,Louisiana Natural Gas International Deliveries to Colombia (Million Cubic Feet),29408,MMCF
2024,STX-NCO,COL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NCO_MMCF,Texas Natural Gas International Deliveries to Colombia (Million Cubic Feet),18836,MMCF
2024,SLA-NPO,PRT,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NPO_MMCF,Lousiana Natural Gas Exports + Intransit to Portugal (Million Cubic Feet),19633,MMCF
2024,STX-NPO,PRT,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NPO_MMCF,Texas Natural Gas International Deliveries to Portugal (Million Cubic Feet),48096,MMCF
2024,NUS-Z00,U.S.,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_NUS_2,U.S. Natural Gas International Deliveries (MMcf),7736035,MMCF
2024,SGA-Z00,USA-GA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-Z00_MMCF,Georgia Natural Gas International Deliveries (Million Cubic Feet),101421,MMCF
2024,SND-Z00,USA-ND,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SND-Z00_2,North Dakota Natural Gas International Deliveries (MMcf),237,MMCF
2024,STN-Z00,USA-TN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STN-Z00_MMCF,Tennessee Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,STX-Z00,TEXAS,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_STX_2,Texas Natural Gas International Deliveries (MMcf),3470726,MMCF
2024,SNJ-Z00,USA-NJ,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SNJ-Z00_MMCF,New Jersey Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SMA-Z00,MASSACHUSETTS,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SMA_2,Massachusetts Natural Gas International Deliveries (MMcf),0,MMCF
2024,SLA-NBR,BRA,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_SLA-NBR_MMCF,Louisiana Natural Gas International Deliveries to Brazil (Million Cubic Feet),61739,MMCF
2024,SGA-NBR,BRA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-NBR_MMCF,Georgia Natural Gas International Deliveries to Brazil (Million Cubic Feet),3685,MMCF
2024,SMD-NBR,BRA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NBR_MMCF,Maryland Natural Gas International Deliveries to Brazil (Million Cubic Feet),4940,MMCF
2024,STX-NBR,BRA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NBR_MMCF,Texas Natural Gas International Deliveries to Brazil (Million Cubic Feet),35483,MMCF
2024,SLA-NSP,ESP,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_SLA-NSP_MMCF,Louisiana Natural Gas International Deliveries to Spain (Million Cubic Feet),115674,MMCF
2024,SGA-NSP,ESP,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SGA-NSP_MMCF,Georgia Natural Gas International Deliveries to Spain (Million Cubic Feet),3397,MMCF
2024,SMD-NSP,ESP,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMD-NSP_MMCF,Maryland Natural Gas International Deliveries to Spain (Million Cubic Feet),8318,MMCF
2024,STX-NSP,ESP,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NSP_MMCF,Texas Natural Gas International Deliveries to Spain (Million Cubic Feet),83290,MMCF
2024,SLA-NTW,TWN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NTW_MMCF,Louisiana Natural Gas International Deliveries to Taiwan (MMcf),74735,MMCF
2024,STX-NTW,TWN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NTW_MMCF,Texas Natural Gas International Deliveries to Taiwan (Million Cubic Feet),43426,MMCF
2024,SLA-NBE,BEL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SLA-NBE_MMCF,Louisiana Natural Gas International Deliveries to Belgium (Million Cubic Feet),30880,MMCF
2024,STX-NBE,BEL,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NBE_MMCF,Texas Natural Gas International Deliveries to Belgium (Million Cubic Feet),9960,MMCF
2024,STX-NMR,MRT,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_STX-NMR_MMCF,Texas Natural Gas International Deliveries to Mauritania (Million Cubic Feet),517,MMCF
2024,R3FM-Z00,NA,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_R3FM-Z00_MMCF,Federal Offshore--Gulf of America Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SUT-Z00,USA-UT,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SUT-Z00_MMCF,Utah Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SWY-Z00,USA-WY,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SWY-Z00_MMCF,Wyoming Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SIN-Z00,USA-IN,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SIN-Z00_MMCF,Indiana Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SNV-Z00,USA-NV,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SNV-Z00_MMCF,Nevada Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SNY-Z00,NEW YORK,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SNY_2,New York Natural Gas International Deliveries (MMcf),284505,MMCF
2024,SOK-Z00,USA-OK,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SOK-Z00_MMCF,Oklahoma Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SNM-Z00,USA-NM,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SNM-Z00_MMCF,New Mexico Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SMS-Z00,USA-MS,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SMS-Z00_MMCF,Mississippi Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SVT-Z00,USA-VT,EPG0,Natural Gas,EEI,Exports + Intransit,NGM_EPG0_EEI_SVT-Z00_MMCF,Vermont Natural Gas International Deliveries (Million Cubic Feet),0,MMCF
2024,SME-Z00,USA-ME,EPG0,Natural Gas,EEI,Exports + Intransit,NGA_EPG0_EEI_SME-Z00_MMCF,Maine Natural Gas International Deliveries (Million Cubic Feet),111159,MMCF
2024,SID-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SID-NCA_2,Idaho Natural Gas International Deliveries to Canada (Million Cubic Feet),0,MMCF
2024,SMI-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SMI-NCA_2,Michigan Natural Gas International Deliveries to Canada (MMcf),594973,MMCF
2024,SMN-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SMN-NCA_2,Minnesota Natural Gas International Deliveries to Canada (Million Cubic Feet),3936,MMCF
2024,SMT-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SMT-NCA_2,Montana Natural Gas International Deliveries to Canada (MMcf),1,MMCF
2024,SND-NCA,CAN,EPG0,Natural Gas,EEI,Exports + Intransit,NA1280_SND-NCA_2,North Dakota Natural Gas International Deliveries to Canada (Million Cubic Feet),237,MMCF
